[DEBUG @ 14:49:12 | Chroma/EnvironmentEnhancementManager] BillieEnvironment.[0]Environment
[DEBUG @ 14:49:12 | Chroma/EnvironmentEnhancementManager] BillieEnvironment.[0]Environment.[0]SceneSetup
[DEBUG @ 14:49:12 | Chroma/EnvironmentEnhancementManager] BillieEnvironment.[0]Environment.[1]DecoratorContext
[DEBUG @ 14:49:12 | Chroma/EnvironmentEnhancementManager] BillieEnvironment.[0]Environment.[10]LightEffects
[DEBUG @ 14:49:12 | Chroma/EnvironmentEnhancementManager] BillieEnvironment.[0]Environment.[11]====== STATIC ======
[DEBUG @ 14:49:12 | Chroma/EnvironmentEnhancementManager] BillieEnvironment.[0]Environment.[12]Mountains
[DEBUG @ 14:49:12 | Chroma/EnvironmentEnhancementManager] BillieEnvironment.[0]Environment.[12]Mountains.[0]BackMountains
[DEBUG @ 14:49:12 | Chroma/EnvironmentEnhancementManager] BillieEnvironment.[0]Environment.[12]Mountains.[1]FrontMountains
[DEBUG @ 14:49:12 | Chroma/EnvironmentEnhancementManager] BillieEnvironment.[0]Environment.[13]PlayersPlace
[DEBUG @ 14:49:12 | Chroma/EnvironmentEnhancementManager] BillieEnvironment.[0]Environment.[13]PlayersPlace.[0]Mirror
[DEBUG @ 14:49:12 | Chroma/EnvironmentEnhancementManager] BillieEnvironment.[0]Environment.[13]PlayersPlace.[1]Feet
[DEBUG @ 14:49:12 | Chroma/EnvironmentEnhancementManager] BillieEnvironment.[0]Environment.[13]PlayersPlace.[2]Construction
[DEBUG @ 14:49:12 | Chroma/EnvironmentEnhancementManager] BillieEnvironment.[0]Environment.[13]PlayersPlace.[3]RectangleFakeGlow
[DEBUG @ 14:49:12 | Chroma/EnvironmentEnhancementManager] BillieEnvironment.[0]Environment.[13]PlayersPlace.[4]SaberBurnMarksParticles
[DEBUG @ 14:49:12 | Chroma/EnvironmentEnhancementManager] BillieEnvironment.[0]Environment.[13]PlayersPlace.[4]SaberBurnMarksParticles.[0]SaberBurnMarkSparklePS
[DEBUG @ 14:49:12 | Chroma/EnvironmentEnhancementManager] BillieEnvironment.[0]Environment.[13]PlayersPlace.[5]SaberBurnMarksArea
[DEBUG @ 14:49:12 | Chroma/EnvironmentEnhancementManager] BillieEnvironment.[0]Environment.[13]PlayersPlace.[6]Collider
[DEBUG @ 14:49:12 | Chroma/EnvironmentEnhancementManager] BillieEnvironment.[0]Environment.[14]LeftRail
[DEBUG @ 14:49:12 | Chroma/EnvironmentEnhancementManager] BillieEnvironment.[0]Environment.[15]RightRail
[DEBUG @ 14:49:12 | Chroma/EnvironmentEnhancementManager] BillieEnvironment.[0]Environment.[16]LeftFarRail1
[DEBUG @ 14:49:12 | Chroma/EnvironmentEnhancementManager] BillieEnvironment.[0]Environment.[17]LeftFarRail2
[DEBUG @ 14:49:12 | Chroma/EnvironmentEnhancementManager] BillieEnvironment.[0]Environment.[18]RightFarRail1
[DEBUG @ 14:49:12 | Chroma/EnvironmentEnhancementManager] BillieEnvironment.[0]Environment.[19]RightFarRail2
[DEBUG @ 14:49:12 | Chroma/EnvironmentEnhancementManager] BillieEnvironment.[0]Environment.[2]NarrowGameHUD
[DEBUG @ 14:49:12 | Chroma/EnvironmentEnhancementManager] BillieEnvironment.[0]Environment.[2]NarrowGameHUD.[0]EnergyPanel
[DEBUG @ 14:49:12 | Chroma/EnvironmentEnhancementManager] BillieEnvironment.[0]Environment.[2]NarrowGameHUD.[0]EnergyPanel.[0]BG
[DEBUG @ 14:49:12 | Chroma/EnvironmentEnhancementManager] BillieEnvironment.[0]Environment.[2]NarrowGameHUD.[0]EnergyPanel.[1]BarBG
[DEBUG @ 14:49:12 | Chroma/EnvironmentEnhancementManager] BillieEnvironment.[0]Environment.[2]NarrowGameHUD.[0]EnergyPanel.[2]EnergyIconEmpty
[DEBUG @ 14:49:12 | Chroma/EnvironmentEnhancementManager] BillieEnvironment.[0]Environment.[2]NarrowGameHUD.[0]EnergyPanel.[3]EnergyIconFull
[DEBUG @ 14:49:12 | Chroma/EnvironmentEnhancementManager] BillieEnvironment.[0]Environment.[2]NarrowGameHUD.[0]EnergyPanel.[4]EnergyBarWrapper
[DEBUG @ 14:49:12 | Chroma/EnvironmentEnhancementManager] BillieEnvironment.[0]Environment.[2]NarrowGameHUD.[0]EnergyPanel.[4]EnergyBarWrapper.[0]EnergyBar
[DEBUG @ 14:49:12 | Chroma/EnvironmentEnhancementManager] BillieEnvironment.[0]Environment.[2]NarrowGameHUD.[0]EnergyPanel.[5]Laser
[DEBUG @ 14:49:12 | Chroma/EnvironmentEnhancementManager] BillieEnvironment.[0]Environment.[2]NarrowGameHUD.[0]EnergyPanel.[5]Laser.[0]BoxLight
[DEBUG @ 14:49:12 | Chroma/EnvironmentEnhancementManager] BillieEnvironment.[0]Environment.[2]NarrowGameHUD.[0]EnergyPanel.[5]Laser.[1]BakedBloom
[DEBUG @ 14:49:12 | Chroma/EnvironmentEnhancementManager] BillieEnvironment.[0]Environment.[2]NarrowGameHUD.[0]EnergyPanel.[6]FailIcon
[DEBUG @ 14:49:12 | Chroma/EnvironmentEnhancementManager] BillieEnvironment.[0]Environment.[2]NarrowGameHUD.[1]LeftPanel
[DEBUG @ 14:49:12 | Chroma/EnvironmentEnhancementManager] BillieEnvironment.[0]Environment.[2]NarrowGameHUD.[1]LeftPanel.[0]ComboPanel
[DEBUG @ 14:49:12 | Chroma/EnvironmentEnhancementManager] BillieEnvironment.[0]Environment.[2]NarrowGameHUD.[1]LeftPanel.[0]ComboPanel.[0]ComboText
[DEBUG @ 14:49:12 | Chroma/EnvironmentEnhancementManager] BillieEnvironment.[0]Environment.[2]NarrowGameHUD.[1]LeftPanel.[0]ComboPanel.[1]ComboCanvas
[DEBUG @ 14:49:12 | Chroma/EnvironmentEnhancementManager] BillieEnvironment.[0]Environment.[2]NarrowGameHUD.[1]LeftPanel.[0]ComboPanel.[1]ComboCanvas.[0]NumText
[DEBUG @ 14:49:12 | Chroma/EnvironmentEnhancementManager] BillieEnvironment.[0]Environment.[2]NarrowGameHUD.[1]LeftPanel.[0]ComboPanel.[2]Line0
[DEBUG @ 14:49:12 | Chroma/EnvironmentEnhancementManager] BillieEnvironment.[0]Environment.[2]NarrowGameHUD.[1]LeftPanel.[0]ComboPanel.[3]Line1
[DEBUG @ 14:49:12 | Chroma/EnvironmentEnhancementManager] BillieEnvironment.[0]Environment.[2]NarrowGameHUD.[1]LeftPanel.[1]ScoreCanvas
[DEBUG @ 14:49:12 | Chroma/EnvironmentEnhancementManager] BillieEnvironment.[0]Environment.[2]NarrowGameHUD.[1]LeftPanel.[1]ScoreCanvas.[0]ScoreText
[DEBUG @ 14:49:12 | Chroma/EnvironmentEnhancementManager] BillieEnvironment.[0]Environment.[2]NarrowGameHUD.[1]LeftPanel.[1]ScoreCanvas.[1]ImmediateRankText
[DEBUG @ 14:49:12 | Chroma/EnvironmentEnhancementManager] BillieEnvironment.[0]Environment.[2]NarrowGameHUD.[1]LeftPanel.[1]ScoreCanvas.[2]RelativeScoreText
[DEBUG @ 14:49:12 | Chroma/EnvironmentEnhancementManager] BillieEnvironment.[0]Environment.[2]NarrowGameHUD.[2]RightPanel
[DEBUG @ 14:49:12 | Chroma/EnvironmentEnhancementManager] BillieEnvironment.[0]Environment.[2]NarrowGameHUD.[2]RightPanel.[0]MultiplierCanvas
[DEBUG @ 14:49:12 | Chroma/EnvironmentEnhancementManager] BillieEnvironment.[0]Environment.[2]NarrowGameHUD.[2]RightPanel.[0]MultiplierCanvas.[0]BGCircle
[DEBUG @ 14:49:12 | Chroma/EnvironmentEnhancementManager] BillieEnvironment.[0]Environment.[2]NarrowGameHUD.[2]RightPanel.[0]MultiplierCanvas.[1]FGCircle
[DEBUG @ 14:49:12 | Chroma/EnvironmentEnhancementManager] BillieEnvironment.[0]Environment.[2]NarrowGameHUD.[2]RightPanel.[0]MultiplierCanvas.[2]AnimationCircle
[DEBUG @ 14:49:12 | Chroma/EnvironmentEnhancementManager] BillieEnvironment.[0]Environment.[2]NarrowGameHUD.[2]RightPanel.[0]MultiplierCanvas.[3]TextOverlayPanelOutline1
[DEBUG @ 14:49:12 | Chroma/EnvironmentEnhancementManager] BillieEnvironment.[0]Environment.[2]NarrowGameHUD.[2]RightPanel.[0]MultiplierCanvas.[3]TextOverlayPanelOutline1.[0]XText
[DEBUG @ 14:49:12 | Chroma/EnvironmentEnhancementManager] BillieEnvironment.[0]Environment.[2]NarrowGameHUD.[2]RightPanel.[0]MultiplierCanvas.[3]TextOverlayPanelOutline1.[1]NumText
[DEBUG @ 14:49:12 | Chroma/EnvironmentEnhancementManager] BillieEnvironment.[0]Environment.[2]NarrowGameHUD.[2]RightPanel.[0]MultiplierCanvas.[4]TextOverlayPanelOutline0
[DEBUG @ 14:49:12 | Chroma/EnvironmentEnhancementManager] BillieEnvironment.[0]Environment.[2]NarrowGameHUD.[2]RightPanel.[0]MultiplierCanvas.[4]TextOverlayPanelOutline0.[0]XText
